Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Wrist_AA_L_Link,0.0481548139056346,-0.0885981643123183,0.0118544030044484,0,0,0,1.16294975479698,0.0027861287011637,0.000655307459832117,4.65043904076585E-05,0.00150104013596433,5.68759630419156E-05,0.00243451886071042,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Wrist_AA_L_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Wrist_AA_L_Link.STL,,Link_Hand_L-1,Origin_Wrist_AA_L,Axis_Wrist_AA_L,Wrist_AA_L,revolute,0.0439503306817846,-0.0831455976437052,0.0134230408415163,0,0,0,Wrist_FE_L_Link,0.843385849793954,0.385361551153234,-0.374428609029951,0,0,-0.785,0.785,,,,,,,,
Hip_Yaw_R_Link,0.0578410845121096,0.0820008286384128,-0.0573035744011938,0,0,0,1.87267545353134,0.00289173144955821,0.000158739707429429,-0.00023483997255851,0.00300480416177858,-0.000332931872688091,0.00307978274984304,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Hip_Yaw_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Hip_Yaw_R_Link.STL,,Link_Hip_Yaw_R-1;Act_Hip_AA_R-1,Origin_Hip_Yaw_R,Axis_Hip_Yaw_R,Hip_Yaw_R,revolute,-0.18292,0,0.77669,1.5708,0,0,base_link,0.5764,0.81716,0,0,0,-0.785,0.785,,,,,,,,
Hip_AA_R_Link,-2.69449785483822E-07,-0.0646115391941415,-0.000652188468069115,0,0,0,2.48825418562765,0.00405037749012707,-3.5961153665738E-10,1.09319966244474E-10,0.00315132056134294,0.000500461315147233,0.00387167610683285,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Hip_AA_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Hip_AA_R_Link.STL,,Link_Hip_AA_R-1;Act_Leg_Yaw_R-1,Origin_Hip_AA_R,Axis_Hip_AA_R,Hip_AA_R,revolute,0.0481955931563164,0.0683264972269815,0,0,0,0,Hip_Yaw_R_Link,0,0,1,0,0,-0.785,0.785,,,,,,,,
Leg_Yaw_R_Link,6.82227077608566E-09,-0.104403452809299,2.66533504267152E-15,0,0,0,4.0914725794956,0.0142533854053674,1.49951509217404E-09,-6.16086353110232E-08,0.00576969016759821,5.78352776779898E-16,0.0137448181862327,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Leg_Yaw_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Leg_Yaw_R_Link.STL,,Link_Leg_Yaw_R-1;Act_Knee_FE_R-1,Origin_Leg_Yaw_R,Axis_Leg_Yaw_R,Leg_Yaw_R,revolute,0,-0.13,0,0,0,0,Hip_AA_R_Link,0,1,0,0,0,-0.785,0.785,,,,,,,,
Knee_FE_R_Link,-4.93987460936651E-08,-0.1303798261204,0.00432722001694677,0,0,0,3.40975209875335,0.0524465518071102,7.02934990367548E-09,-8.46637666448873E-09,0.00511985305384163,0.000894089614904236,0.0535345160267601,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Knee_FE_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Knee_FE_R_Link.STL,,Link_Knee_FE_R-1;Act_Ankle_INT_R-1;Act_Ankle_EXT_R-1,Origin_Knee_FE_R,Axis_Knee_FE_R,Knee_FE_R,revolute,0,-0.195911086202374,0,0,0,0,Leg_Yaw_R_Link,1,0,0,0,0,-2.094,0,,,,,,,,
Ankle_FE_R_Link,2.13230261780772E-08,-3.31102187334231E-10,1.73086544095303E-08,0,0,0,0.153834925462232,4.48755162014596E-05,-1.14948613513671E-12,-1.49200435840691E-11,4.91482585618936E-05,2.31778812055718E-11,3.14808463200294E-05,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Ankle_FE_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Ankle_FE_R_Link.STL,,Link_Ankle_Spider_R-1,Origin_Ankle_FE_R,Axis_Ankle_FE_R,Ankle_FE_R,revolute,0,-0.399106992412679,0,0,0,0,Knee_FE_R_Link,1,0,0,0,0,-0.785,0.785,,,,,,,,
Ankle_AA_R_Link,4.70497521498636E-09,-0.0888982973512883,0.0475242006785333,0,0,0,2.13461169422066,0.00890209560798504,-3.02319429852812E-10,-3.31335378706138E-11,0.0083072021840268,0.000961558978902551,0.00188215989143463,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Ankle_AA_R_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Ankle_AA_R_Link.STL,,Link_Foot_R-1,Origin_Ankle_AA_R,Axis_Ankle_AA_R,Ankle_AA_R,revolute,0,0,0,0,0,0,Ankle_FE_R_Link,0,0,1,0,0,-0.785,0.785,,,,,,,,
Hip_Yaw_L_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Hip_Yaw_L_Link.STL,1,1,1,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Hip_Yaw_L_Link.STL,,Link_Hip_Yaw_L-1;Act_Hip_AA_L-1,Origin_Hip_Yaw_L,Axis_Hip_Yaw_L,Hip_Yaw_L,revolute,0.130955787324032,0,0.850357317544145,1.5707963267949,0,0,base_link,0.576404776244777,-0.817164324920152,0,0,0,-0.785,0.785,,,,,,,,
Hip_AA_L_Link,-2.62266962453017E-07,-0.0646116873978295,-0.000652066625577265,0,0,0,2.48825113860261,0.00405037803146433,-2.08780618374345E-09,3.17730270187968E-09,0.00315132204448699,0.000500459479043544,0.00387166959773019,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Hip_AA_L_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Hip_AA_L_Link.STL,,Link_Hip_AA_L-1;Act_Leg_Yaw_L-1,Origin_Hip_AA_L,Axis_Hip_AA_L,Hip_AA_L,revolute,0.00376614926323537,-0.00533923892909116,0,0,0,0,Hip_Yaw_L_Link,0,0,1,0,0,-0.785,0.785,,,,,,,,
Leg_Yaw_L_Link,6.82227951909198E-09,-0.104403445541586,4.68211355669955E-15,0,0,0,4.09147176216603,0.0142533811399932,1.47594001631118E-09,-5.88046718179431E-08,0.00576969008395192,1.68085727330861E-16,0.013744816339507,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Leg_Yaw_L_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Leg_Yaw_L_Link.STL,,Link_Leg_Yaw_L-1;Act_Knee_FE_L-1,Origin_Leg_Yaw_L,Axis_Leg_Yaw_L,Leg_Yaw_L,revolute,0,-0.13,0,0,0,0,Hip_AA_L_Link,0,1,0,0,0,-0.785,0.785,,,,,,,,
Knee_FE_L_Link,-0.00198284083556183,-0.132387821786023,0.00461322617281429,0,0,0,3.19835325034246,0.0523532579591458,-6.44161322043689E-09,8.32602353989091E-09,0.00503890138177925,0.000894090531679506,0.0534535657648782,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Knee_FE_L_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Knee_FE_L_Link.STL,,Link_Knee_FE_L-1;Act_Ankle_INT_L-1;Act_Ankle_EXT_L-1,Origin_Knee_FE_L,Axis_Knee_FE_L,Knee_FE_L,revolute,0,-0.195911086202374,0,0,0,0,Leg_Yaw_L_Link,1,0,0,0,0,-2.094,0,,,,,,,,
Ankle_FE_L_Link,-2.15278271042951E-08,-6.91215279458035E-11,1.80190664845847E-08,0,0,0,0.153834949413743,4.48755211744641E-05,4.29871081789534E-13,1.2901438273711E-11,4.91482963109345E-05,1.29232571260581E-10,3.1480829846544E-05,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Ankle_FE_L_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Ankle_FE_L_Link.STL,,Link_Ankle_Spider_L-1,Origin_Ankle_FE_L,Axis_Ankle_FE_L,Ankle_FE_L,revolute,0,-0.399106992412679,0,0,0,0,Knee_FE_L_Link,1,0,0,0,0,-0.785,0.785,,,,,,,,
Ankle_AA_L_Link,-1.44560177717246E-08,-0.0888983146151464,0.0475241817527442,0,0,0,2.13461028514175,0.0089020907103915,6.35895615377347E-10,1.03567266094569E-09,0.00830719794466869,0.000961559759681165,0.00188215837469731,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Ankle_AA_L_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://250226_DummyBipedURDF/meshes/Ankle_AA_L_Link.STL,,Link_Foot_L-1,Origin_Ankle_AA_L,Axis_Ankle_AA_L,Ankle_AA_L,revolute,0,0,0,0,0,0,Ankle_FE_L_Link,0,0,1,0,0,-0.785,0.785,,,,,,,,
